epoch,train_bpp,validation_bpp,best_validation_bpp,learning_rate
1,8.63265833125395,8.289527589624578,8.289527589624578,0.0005
2,7.329967854443718,7.098366622491317,7.098366622491317,0.0005
3,6.524133295171401,6.445964980125427,6.445964980125427,0.0005
4,6.104501003938562,5.993153848431327,5.993153848431327,0.0005
5,5.938566196666044,5.894773511453108,5.894773511453108,0.0005
6,5.756987116196576,5.809316765178334,5.809316765178334,0.0005
7,5.699914147994098,5.850920738957145,5.809316765178334,0.0005
8,5.895554349562701,5.776915723627264,5.776915723627264,0.0005
9,5.7373481211942785,6.107924569736827,5.776915723627264,0.0005
10,5.7659848381491265,5.742324859445746,5.742324859445746,0.0005
11,5.748066423079547,5.769376089356163,5.742324859445746,0.0005
12,5.691788214515237,5.673004020344127,5.673004020344127,0.0005
13,5.564618698568905,5.577132387594744,5.577132387594744,0.0005
14,5.555134913500617,5.678477966785431,5.577132387594744,0.0005
15,5.547128110773423,5.608880038694902,5.577132387594744,0.0005
16,5.5408853553323185,5.673408940705386,5.577132387594744,0.0005
17,5.791469982371611,5.764187542958693,5.577132387594744,0.0005
18,5.629561346839456,6.010908481207761,5.577132387594744,0.0005
19,5.629229321199305,5.652969580346888,5.577132387594744,0.0005
20,5.583821564842673,5.5963128859346565,5.577132387594744,0.0005
21,5.466038823969224,5.5337937485088,5.5337937485088,0.0005
22,5.459128232843736,5.4744721109216865,5.4744721109216865,0.0005
23,5.436641537161434,5.4631556174971845,5.4631556174971845,0.0005
24,5.435761682846967,5.58496013879776,5.4631556174971845,0.0005
25,5.430922665315516,5.473701833594929,5.4631556174971845,0.0005
26,5.417542834562414,5.478862504525618,5.4631556174971845,0.0005
27,5.414511160009048,5.459213319691744,5.459213319691744,0.0005
28,5.427472454519833,5.56544823104685,5.459213319691744,0.0005
29,5.418147096072926,5.404769137772647,5.404769137772647,0.0005
30,5.393268848867978,5.43297885873101,5.404769137772647,0.0005
31,5.4760754630144906,5.74567755352367,5.404769137772647,0.0005
32,5.539388472613166,5.5371843944896355,5.404769137772647,0.0005
33,5.541199224135455,5.8453551119024105,5.404769137772647,0.0005
34,5.481354163674747,5.797972777756778,5.404769137772647,0.0005
35,5.399814969231101,5.508979590372606,5.404769137772647,0.0005
36,5.3900868348514335,5.455071209777485,5.404769137772647,0.0005
37,5.372141862757066,5.439503162557428,5.404769137772647,0.0005
38,5.366576695161707,5.4323055115613075,5.404769137772647,0.0005
39,5.363616141150979,5.489668471162969,5.404769137772647,0.0005
40,5.3649721269046555,5.433286257223649,5.404769137772647,0.0005
41,5.344263367372401,5.36564985296943,5.36564985296943,0.0005
42,5.3392362830218145,5.355952935869044,5.355952935869044,0.0005
43,5.351095333099365,5.400476206432689,5.355952935869044,0.0005
44,5.338682443955365,5.374308032339269,5.355952935869044,0.0005
45,5.335501662983614,5.406925136392767,5.355952935869044,0.0005
46,5.349232575472663,5.446796696836298,5.355952935869044,0.0005
47,5.32533914790434,5.327360721067949,5.327360721067949,0.0005
48,5.43571935821982,5.925899131731554,5.327360721067949,0.0005
49,5.35042423584882,5.396480623158541,5.327360721067949,0.0005
50,5.3338223064647,5.329241306131537,5.327360721067949,0.0004
51,5.321188671448652,5.42972895340486,5.327360721067949,0.0004
52,5.422463279050939,5.4926714203574445,5.327360721067949,0.0004
53,5.48478536269244,5.386654634909196,5.327360721067949,0.0004
54,5.435578641891479,5.844628620147705,5.327360721067949,0.0004
55,5.3711123320635625,5.909421371329914,5.327360721067949,0.0004
56,5.395122872520895,5.555644071102142,5.327360721067949,0.0004
57,5.431807428247788,5.759870872714303,5.327360721067949,0.0004
58,5.364030283759622,5.614377285133709,5.327360721067949,0.0004
59,5.379897634842816,5.542289520393719,5.327360721067949,0.0004
60,5.403856315612793,5.792017030715942,5.327360721067949,0.0004
61,5.356844125635484,5.525953170386228,5.327360721067949,0.0004
62,5.3769954647737395,5.375413621555675,5.327360721067949,0.0004
63,5.3997390696581675,5.5257848219438035,5.327360721067949,0.0004
64,5.344615053289077,5.550407561388883,5.327360721067949,0.0004
65,5.384764653374167,5.348972937193784,5.327360721067949,0.0004
66,5.392666425704956,5.618912878903475,5.327360721067949,0.0004
67,5.343710525737089,5.701126133311878,5.327360721067949,0.0004
68,5.37085563547471,5.442099696939642,5.327360721067949,0.0004
69,5.389494425829719,5.569121585109017,5.327360721067949,0.0004
70,5.3733636766321515,5.4399903015656905,5.327360721067949,0.0004
71,5.345519001904656,5.576899323680184,5.327360721067949,0.0004
72,5.323914748921114,5.461843310702931,5.327360721067949,0.0004
73,5.326308889950023,5.571283556114544,5.327360721067949,0.0004
74,5.3393115088518925,5.530340562083504,5.327360721067949,0.0004
75,5.355885276794433,5.578225444663655,5.327360721067949,0.0004
76,5.328829114577349,5.446098328720439,5.327360721067949,0.0004
77,5.321132529763615,5.558309174667706,5.327360721067949,0.0004
78,5.320315382340375,5.67257053418593,5.327360721067949,0.0004
79,5.3186939273161045,5.535307702151212,5.327360721067949,0.0004
80,5.3249868864171646,5.583682311664928,5.327360721067949,0.0004
81,5.310080420550178,5.495978058468212,5.327360721067949,0.0004
82,5.3392236608617445,5.3924616000869054,5.327360721067949,0.0004
83,5.358163701225729,5.673670284314589,5.327360721067949,0.0004
84,5.3140351003759045,5.589267149838534,5.327360721067949,0.0004
85,5.317014200547162,5.735367539795962,5.327360721067949,0.0004
86,5.315042897392722,5.756713475964286,5.327360721067949,0.0004
87,5.333565202600815,5.441111904924566,5.327360721067949,0.0004
88,5.352573877222397,5.464896270361813,5.327360721067949,0.0004
89,5.302953283646527,5.544248935309324,5.327360721067949,0.0004
90,5.324224428289077,5.353160498358987,5.327360721067949,0.0004
91,5.346545038784251,5.508294373208826,5.327360721067949,0.0004
92,5.323360761754653,5.348115553639152,5.327360721067949,0.0004
93,5.286007025101606,5.478951403227719,5.327360721067949,0.0004
94,5.319236578099868,5.418933523784984,5.327360721067949,0.0004
95,5.339287499820485,5.624318814277649,5.327360721067949,0.0004
96,5.29855364519007,5.483343134143135,5.327360721067949,0.0004
97,5.316705147238339,5.30233063697815,5.30233063697815,0.0004
98,5.326156937655281,5.616080040281469,5.30233063697815,0.0004
99,5.281818907120648,5.474270787022331,5.30233063697815,0.0004
100,5.2774645771699795,5.414994166114114,5.30233063697815,0.00032
101,5.250166617000804,5.398797086152164,5.30233063697815,0.00032
102,5.254613721510943,5.333911489356648,5.30233063697815,0.00032
103,5.251443252563477,5.339011899991469,5.30233063697815,0.00032
104,5.243001814449535,5.421108224175193,5.30233063697815,0.00032
105,5.262324810028076,5.408395592732863,5.30233063697815,0.00032
106,5.304735362109016,5.247561080889269,5.247561080889269,0.00032
107,5.289242074068855,5.318753122199666,5.247561080889269,0.00032
108,5.288313321506275,5.232444142211567,5.232444142211567,0.00032
109,5.285341165766996,5.236798179149628,5.232444142211567,0.00032
110,5.278805253645953,5.262149187651548,5.232444142211567,0.00032
111,5.285573396682739,5.223897506973961,5.223897506973961,0.00032
112,5.278551638547112,5.23742756951939,5.223897506973961,0.00032
113,5.276764957203585,5.227395418557253,5.223897506973961,0.00032
114,5.282880624883315,5.217862805453214,5.217862805453214,0.00032
115,5.275453887266271,5.2419373739849435,5.217862805453214,0.00032
116,5.272567762487075,5.239235455339605,5.217862805453214,0.00032
117,5.276411473330329,5.218263399600983,5.217862805453214,0.00032
118,5.2762030455645395,5.220588075030934,5.217862805453214,0.00032
119,5.273485041786643,5.248135680502111,5.217862805453214,0.00032
120,5.2768059253692625,5.205802017992193,5.205802017992193,0.00032
121,5.269330861708697,5.243776004964655,5.205802017992193,0.00032
122,5.275395071927239,5.210927829959176,5.205802017992193,0.00032
123,5.258430405224071,5.287389139695601,5.205802017992193,0.00032
124,5.231647957072538,5.414379101449793,5.205802017992193,0.00032
125,5.208126684076646,5.426042287999933,5.205802017992193,0.00032
126,5.218502045238719,5.550019079988653,5.205802017992193,0.00032
127,5.2275657973569984,5.4784936753186315,5.205802017992193,0.00032
128,5.219321148816277,5.427192836458032,5.205802017992193,0.00032
129,5.207461908564848,5.488432665304704,5.205802017992193,0.00032
130,5.222177697349997,5.531025431372902,5.205802017992193,0.00032
131,5.217164662866032,5.465082318132574,5.205802017992193,0.00032
132,5.215423315272612,5.531022667884827,5.205802017992193,0.00032
133,5.22361086621004,5.562031385031614,5.205802017992193,0.00032
134,5.22312027538524,5.4458063634959135,5.205802017992193,0.00032
135,5.219931878482594,5.648280877416784,5.205802017992193,0.00032
136,5.230585691788617,5.196117104183544,5.196117104183544,0.00032
137,5.280274654276231,5.237070806459947,5.196117104183544,0.00032
138,5.270092041352216,5.233236109126698,5.196117104183544,0.00032
139,5.248825483883128,5.211923715201292,5.196117104183544,0.00032
140,5.252942083583158,5.199886863881892,5.196117104183544,0.00032
141,5.249340078129488,5.191679710691625,5.191679710691625,0.00032
142,5.2485149024514595,5.168945082751187,5.168945082751187,0.00032
143,5.245885051278507,5.167582178115845,5.167582178115845,0.00032
144,5.242146673763499,5.1697544032877145,5.167582178115845,0.00032
145,5.239506297952989,5.164228912917051,5.164228912917051,0.00032
146,5.241473394281724,5.177774938670072,5.164228912917051,0.00032
147,5.236618564269122,5.177338524298235,5.164228912917051,0.00032
148,5.2519346057667455,5.211957650834864,5.164228912917051,0.00032
149,5.231134598114911,5.245221350409768,5.164228912917051,0.00032
150,5.187412927290972,5.338755574009635,5.164228912917051,0.00025600000000000004
151,5.218822456247667,5.17691406770186,5.164228912917051,0.00025600000000000004
152,5.212308276120354,5.180023791573264,5.164228912917051,0.00025600000000000004
153,5.20528166770935,5.140954692797227,5.140954692797227,0.00025600000000000004
154,5.210447798897238,5.175865242697975,5.140954692797227,0.00025600000000000004
155,5.214066420162426,5.1463377443226905,5.140954692797227,0.00025600000000000004
156,5.203865227418787,5.155930914662101,5.140954692797227,0.00025600000000000004
157,5.208234954721787,5.134633231163025,5.134633231163025,0.00025600000000000004
158,5.211708640491262,5.159242346070029,5.134633231163025,0.00025600000000000004
159,5.212118565615485,5.139612357182936,5.134633231163025,0.00025600000000000004
160,5.209788634917316,5.146882651068948,5.134633231163025,0.00025600000000000004
161,5.204906736261704,5.152723857489499,5.134633231163025,0.00025600000000000004
162,5.1920165449030256,5.137755767865614,5.134633231163025,0.00025600000000000004
163,5.188411601010491,5.128536699034951,5.128536699034951,0.00025600000000000004
164,5.191375543369967,5.141380598328331,5.128536699034951,0.00025600000000000004
165,5.184144935046925,5.1870856003327805,5.128536699034951,0.00025600000000000004
166,5.19204436526579,5.124387140707536,5.124387140707536,0.00025600000000000004
167,5.185818800084731,5.1581229773434725,5.124387140707536,0.00025600000000000004
168,5.193657553055707,5.114278223297813,5.114278223297813,0.00025600000000000004
169,5.186782512664795,5.138044169816104,5.114278223297813,0.00025600000000000004
170,5.189504944296444,5.1169166911732065,5.114278223297813,0.00025600000000000004
171,5.185710012772504,5.115337679602883,5.114278223297813,0.00025600000000000004
172,5.196794195175171,5.131407820094715,5.114278223297813,0.00025600000000000004
173,5.190840413149665,5.137469480254433,5.114278223297813,0.00025600000000000004
174,5.195911417568431,5.139750663800673,5.114278223297813,0.00025600000000000004
175,5.185421571170583,5.131129773096605,5.114278223297813,0.00025600000000000004
176,5.191090567532708,5.108702635765075,5.108702635765075,0.00025600000000000004
177,5.182577976339004,5.131779662045566,5.108702635765075,0.00025600000000000004
178,5.187820812113145,5.1126830848780545,5.108702635765075,0.00025600000000000004
179,5.1842468233669505,5.137156555869362,5.108702635765075,0.00025600000000000004
180,5.181366262996898,5.102257601781325,5.102257601781325,0.00025600000000000004
181,5.17976845404681,5.145929050445557,5.102257601781325,0.00025600000000000004
182,5.188830266279333,5.104796089909294,5.102257601781325,0.00025600000000000004
183,5.172652761234956,5.183891083977439,5.102257601781325,0.00025600000000000004
184,5.162514024061315,5.243112516403198,5.102257601781325,0.00025600000000000004
185,5.194161803301643,5.1408235907554625,5.102257601781325,0.00025600000000000004
186,5.177250420626472,5.179802774299275,5.102257601781325,0.00025600000000000004
187,5.150207013522877,5.310966380075975,5.102257601781325,0.00025600000000000004
188,5.16331259839675,5.278809860619631,5.102257601781325,0.00025600000000000004
189,5.151657957750208,5.28937260129235,5.102257601781325,0.00025600000000000004
190,5.159406002830057,5.279741091077978,5.102257601781325,0.00025600000000000004
191,5.172038824418012,5.216896550221876,5.102257601781325,0.00025600000000000004
192,5.183771096397849,5.124797562035647,5.102257601781325,0.00025600000000000004
193,5.188120397118961,5.111244609139183,5.102257601781325,0.00025600000000000004
194,5.167488896426033,5.187022894079035,5.102257601781325,0.00025600000000000004
195,5.151792687808766,5.216916605559263,5.102257601781325,0.00025600000000000004
196,5.190256400949814,5.116630029678345,5.102257601781325,0.00025600000000000004
197,5.176070622275858,5.226004382697019,5.102257601781325,0.00025600000000000004
198,5.147629461288452,5.298756932128559,5.102257601781325,0.00025600000000000004
199,5.14677664083593,5.294579032334414,5.102257601781325,0.00025600000000000004
200,5.1564899596046,5.0882302295077935,5.0882302295077935,0.00020480000000000004
201,5.138600474525901,5.061822270263325,5.061822270263325,0.00020480000000000004
202,5.1305583123599785,5.067026089538228,5.061822270263325,0.00020480000000000004
203,5.133214159572826,5.071873688697815,5.061822270263325,0.00020480000000000004
204,5.1337508201599125,5.067832912098278,5.061822270263325,0.00020480000000000004
205,5.138645268608542,5.070199901407415,5.061822270263325,0.00020480000000000004
206,5.1374839446123906,5.0854866862297055,5.061822270263325,0.00020480000000000004
207,5.1498972197139965,5.065191698074341,5.061822270263325,0.00020480000000000004
208,5.136824609532076,5.0740883350372314,5.061822270263325,0.00020480000000000004
209,5.136159435721004,5.071690624410456,5.061822270263325,0.00020480000000000004
210,5.131424175711239,5.056906575506384,5.056906575506384,0.00020480000000000004
211,5.138653583526612,5.0735327709804885,5.056906575506384,0.00020480000000000004
212,5.130520529466517,5.112171174179424,5.056906575506384,0.00020480000000000004
213,5.134969115537755,5.075749097087167,5.056906575506384,0.00020480000000000004
214,5.133427548128016,5.07669287594882,5.056906575506384,0.00020480000000000004
215,5.1350305764815385,5.0771136457269845,5.056906575506384,0.00020480000000000004
216,5.139089472153607,5.065214578671889,5.056906575506384,0.00020480000000000004
217,5.129818640877219,5.06295643936504,5.056906575506384,0.00020480000000000004
218,5.127783816842472,5.064071207696741,5.056906575506384,0.00020480000000000004
219,5.130856181873995,5.049064428156073,5.049064428156073,0.00020480000000000004
220,5.134921237721163,5.0595194794914935,5.049064428156073,0.00020480000000000004
221,5.132208522908828,5.065159061822024,5.049064428156073,0.00020480000000000004
222,5.1297432753619026,5.0581738255240705,5.049064428156073,0.00020480000000000004
223,5.122371338115019,5.058868115598505,5.049064428156073,0.00020480000000000004
224,5.128894102994133,5.059795897657221,5.049064428156073,0.00020480000000000004
225,5.117571762309355,5.141789117726413,5.049064428156073,0.00020480000000000004
226,5.129957443686092,5.043420494686473,5.043420494686473,0.00020480000000000004
227,5.127953924852259,5.129659215970473,5.043420494686473,0.00020480000000000004
228,5.128841402390424,5.041764082691886,5.041764082691886,0.00020480000000000004
229,5.127151257010067,5.0955363262783395,5.041764082691886,0.00020480000000000004
230,5.120987725538366,5.0665636669505725,5.041764082691886,0.00020480000000000004
231,5.125605850219727,5.086594637957487,5.041764082691886,0.00020480000000000004
232,5.125005494847017,5.056892557577654,5.041764082691886,0.00020480000000000004
233,5.130703545177684,5.1010181145234545,5.041764082691886,0.00020480000000000004
234,5.110531049055211,5.039041292667389,5.039041292667389,0.00020480000000000004
235,5.115530888613533,5.040094684470784,5.039041292667389,0.00020480000000000004
236,5.118516508551205,5.064059961925853,5.039041292667389,0.00020480000000000004
237,5.131147678038653,5.068924653530121,5.039041292667389,0.00020480000000000004
238,5.1184272289276125,5.1157029856335035,5.039041292667389,0.00020480000000000004
